SERIES_1_3	 "Imoncont"	  ""	 07-Jan-2019	 17:17:48.796
EPC10/2-1	 V-Clamp	 -60.000m	  10.000m	  7.3014k	  6.6448p	  8.1015p
EPC10/2-2	 V-Clamp	  0.0000 	  1.0000m	  2.8735k	  0.0000 	  1.0000p
Sweep #	 R_time[s]	   Mean[A]	    Min[A]	     a2-b3	  Constant	     a5/b4
218	62364,000000000000000	-136,289999999999992	-619,500000000000000	0,000000000483210	10,000000000000000	20,695000000000000
219	62364,000000000000000	-134,379999999999995	-617,909999999999968	0,000000000483530	10,000000000000000	20,681000000000001
220	62365,000000000000000	-129,870000000000005	-610,279999999999973	0,000000000480410	10,000000000000000	20,815000000000001
221	62365,000000000000000	-132,139999999999986	-601,000000000000000	0,000000000468860	10,000000000000000	21,327999999999999
222	62365,000000000000000	-130,620000000000005	-615,470000000000027	0,000000000484850	10,000000000000000	20,625000000000000
223	62366,000000000000000	-127,290000000000006	-614,090000000000032	0,000000000486810	10,000000000000000	20,542000000000002
224	62366,000000000000000	-129,479999999999990	-609,309999999999945	0,000000000479830	10,000000000000000	20,841000000000001
225	62367,000000000000000	-125,530000000000001	-599,779999999999973	0,000000000474260	10,000000000000000	21,085999999999999
226	62367,000000000000000	-128,460000000000008	-608,120000000000005	0,000000000479660	10,000000000000000	20,847999999999999
227	62368,000000000000000	-129,419999999999987	-607,690000000000055	0,000000000478270	10,000000000000000	20,908999999999999
228	62368,000000000000000	-136,259999999999991	-598,690000000000055	0,000000000462430	10,000000000000000	21,625000000000000
229	62369,000000000000000	-130,409999999999997	-600,809999999999945	0,000000000470400	10,000000000000000	21,259000000000000
230	62369,000000000000000	-140,069999999999993	-613,379999999999995	0,000000000473300	10,000000000000000	21,128000000000000
231	62369,000000000000000	-138,629999999999995	-605,309999999999945	0,000000000466680	10,000000000000000	21,428000000000001
232	62370,000000000000000	-124,609999999999999	-605,840000000000032	0,000000000481230	10,000000000000000	20,780000000000001
233	62370,000000000000000	-121,599999999999994	-605,720000000000027	0,000000000484120	10,000000000000000	20,655999999999999
234	62371,000000000000000	-126,530000000000001	-594,090000000000032	0,000000000467570	10,000000000000000	21,387000000000000
235	62371,000000000000000	-124,270000000000010	-585,379999999999995	0,000000000461110	10,000000000000000	21,687000000000001
236	62372,000000000000000	-135,180000000000007	-632,000000000000000	0,000000000496820	10,000000000000000	20,128000000000000
237	62372,000000000000000	-125,500000000000014	-600,529999999999973	0,000000000475040	10,000000000000000	21,050999999999998
238	62372,000000000000000	-130,250000000000000	-613,779999999999973	0,000000000483530	10,000000000000000	20,681000000000001
239	62373,000000000000000	-131,819999999999993	-598,379999999999995	0,000000000466550	10,000000000000000	21,434000000000001
240	62373,000000000000000	-126,829999999999998	-598,559999999999945	0,000000000471730	10,000000000000000	21,198000000000000
241	62374,000000000000000	-130,090000000000003	-601,409999999999968	0,000000000471320	10,000000000000000	21,216999999999999
242	62374,000000000000000	-128,719999999999999	-594,500000000000000	0,000000000465780	10,000000000000000	21,469000000000001
