
Sweep #,       Time[s],        SweepC,       Mean[V],         a4-b5
    165,   52.6513069k,  -112.249233p,  -671.187494p,   558.938261p,   10.0000000m,   17.8910636M
    166,   52.6517599k,  -112.063471p,  -664.249988p,   552.186517p,   10.0000000m,   18.1098228M
    167,   52.6522119k,  -116.144492p,  -662.562505p,   546.418012p,   10.0000000m,   18.3010072M
    168,   52.6526561k,  -114.891340p,  -662.968735p,   548.077395p,   10.0000000m,   18.2455983M
    169,   52.6531009k,  -106.671381p,  -649.249987p,   542.578606p,   10.0000000m,   18.4305092M
    170,   52.6535373k,  -113.657323p,  -661.437516p,   547.780193p,   10.0000000m,   18.2554976M
    171,   52.6539909k,  -116.030244p,  -647.531251p,   531.501006p,   10.0000000m,   18.8146398M
    172,   52.6544269k,  -116.480830p,  -666.437516p,   549.956686p,   10.0000000m,   18.1832502M
    173,   52.6548798k,  -107.098794p,  -662.468747p,   555.369953p,   10.0000000m,   18.0060155M
    174,   52.6553319k,  -119.260359p,  -656.187493p,   536.927134p,   10.0000000m,   18.6245011M
    175,   52.6557769k,  -123.298646p,  -654.374999p,   531.076352p,   10.0000000m,   18.8296842M
    176,   52.6562209k,  -122.062942p,  -652.156273p,   530.093331p,   10.0000000m,   18.8646025M
    177,   52.6566579k,  -123.929082p,  -643.781251p,   519.852168p,   10.0000000m,   19.2362379M
    178,   52.6571109k,  -111.050027p,  -643.656239p,   532.606212p,   10.0000000m,   18.7755977M
    179,   52.6575462k,  -117.516306p,  -633.281261p,   515.764955p,   10.0000000m,   19.3886768M
    180,   52.6579999k,  -122.992025p,  -646.124987p,   523.132962p,   10.0000000m,   19.1155992M
    181,   52.6584519k,  -114.894459p,  -647.562504p,   532.668045p,   10.0000000m,   18.7734183M
    182,   52.6588970k,  -115.429866p,  -629.531260p,   514.101394p,   10.0000000m,   19.4514158M
    183,   52.6593409k,  -109.833714p,  -644.312492p,   534.478778p,   10.0000000m,   18.7098167M
    184,   52.6597779k,  -117.771810p,  -638.031239p,   520.259429p,   10.0000000m,   19.2211797M
    185,   52.6602309k,  -121.331413p,  -645.906273p,   524.574860p,   10.0000000m,   19.0630561M
    186,   52.6606669k,  -114.855030p,  -630.281272p,   515.426242p,   10.0000000m,   19.4014181M
    187,   52.6611199k,  -114.892363p,  -614.874984p,   499.982622p,   10.0000000m,   20.0006952M
    188,   52.6615713k,  -116.272474p,  -634.843733p,   518.571259p,   10.0000000m,   19.2837529M
    189,   52.6620163k,  -116.677787p,  -619.593765p,   502.915978p,   10.0000000m,   19.8840372M
    190,   52.6624609k,  -113.287316p,  -630.093755p,   516.806439p,   10.0000000m,   19.3496041M
    191,   52.6628979k,  -109.583765p,  -615.718754p,   506.134989p,   10.0000000m,   19.7575750M
    192,   52.6633509k,  -105.923903p,  -612.281226p,   506.357323p,   10.0000000m,   19.7488997M
    193,   52.6637869k,  -111.604093p,  -615.468732p,   503.864639p,   10.0000000m,   19.8466001M
    194,   52.6642398k,  -124.204522p,  -619.281237p,   495.076715p,   10.0000000m,   20.1988898M
    195,   52.6646919k,  -116.002436p,  -619.687524p,   503.685087p,   10.0000000m,   19.8536750M
    196,   52.6651370k,  -115.821820p,  -629.625019p,   513.803199p,   10.0000000m,   19.4627048M
    197,   52.6655808k,  -109.403745p,  -625.624996p,   516.221251p,   10.0000000m,   19.3715388M
    198,   52.6660179k,  -119.360227p,  -618.499973p,   499.139747p,   10.0000000m,   20.0344694M
    199,   52.6664709k,  -107.473282p,  -605.531236p,   498.057954p,   10.0000000m,   20.0779847M
    200,   52.6669069k,  -113.598844p,  -615.531237p,   501.932393p,   10.0000000m,   19.9230019M
    201,   52.6673599k,  -114.006270p,  -623.343765p,   509.337495p,   10.0000000m,   19.6333474M
